basketball player, seasons, champions, player salary, percent team salary, percent total salary cap
B.J. Armstrong,1990-91,1991,$425000.00,4.23%,3.58%
Bill Cartwright,1990-91,1991,$1100000.00,10.98%,9.27%
Cliff Levingston,1990-91,1991,$750000.00,7.47%,6.32%
Craig Hodges,1990-91,1991.,$600000.00,5.98%,5.05%
Dennis Hopson,1990-91,1991,$915000.00,09.11%,7.71%
Horace Grant,1990-91,1991,$1000000.00,9.98%,8.42%
John Paxson,1990-91,1991,$385000.00,3.83%,3.24%
Michael Jordan,1990-91,1991.,$2500.000.00,24.90%,21.08%
Scott Williams,1990-91,1991.,$150000.00,1.49%,1.28%
Scottie Pippen,1990-91,1991,$765000.00,7.62%,6.44%
Stacey King,1990-91,1991,$1000000.00,9.98%,8.42%
Will Perdue,1990-91,1991,$450000.00,4.48%,3.79%
 , , ,$10040000.00,100.00%,84.58%
